REPORT_DATE_AS_YYYY-MM-DD,REF_WEEK_END,CFTC_NET_LONG,OPEN_INTEREST_ALL,PROD_MERC_POSITIONS_LONG_ALL,PROD_MERC_POSITIONS_SHORT_ALL,SWAP_POSITIONS_LONG_ALL,SWAP__POSITIONS_SHORT_ALL,SWAP__POSITIONS_SPREAD_ALL,M_MONEY_POSITIONS_LONG_ALL,M_MONEY_POSITIONS_SHORT_ALL,M_MONEY_POSITIONS_SPREAD_ALL,OTHER_REPT_POSITIONS_LONG_ALL,OTHER_REPT_POSITIONS_SHORT_ALL,OTHER_REPT_POSITIONS_SPREAD_ALL,TOT_REPT_POSITIONS_LONG_ALL,TOT_REPT_POSITIONS_SHORT_ALL,NONREPT_POSITIONS_LONG_ALL,NONREPT_POSITIONS_SHORT_ALL,OPEN_INTEREST_OLD,PROD_MERC_POSITIONS_LONG_OLD,PROD_MERC_POSITIONS_SHORT_OLD,SWAP_POSITIONS_LONG_OLD,SWAP__POSITIONS_SHORT_OLD,SWAP__POSITIONS_SPREAD_OLD,M_MONEY_POSITIONS_LONG_OLD,M_MONEY_POSITIONS_SHORT_OLD,M_MONEY_POSITIONS_SPREAD_OLD,OTHER_REPT_POSITIONS_LONG_OLD,OTHER_REPT_POSITIONS_SHORT_OLD,OTHER_REPT_POSITIONS_SPREAD_OLD,TOT_REPT_POSITIONS_LONG_OLD,TOT_REPT_POSITIONS_SHORT_OLD,NONREPT_POSITIONS_LONG_OLD,NONREPT_POSITIONS_SHORT_OLD,OPEN_INTEREST_OTHER,PROD_MERC_POSITIONS_LONG_OTHER,PROD_MERC_POSITIONS_SHORT_OTHER,SWAP_POSITIONS_LONG_OTHER,SWAP__POSITIONS_SHORT_OTHER,SWAP__POSITIONS_SPREAD_OTHER,M_MONEY_POSITIONS_LONG_OTHER,M_MONEY_POSITIONS_SHORT_OTHER,M_MONEY_POSITIONS_SPREAD_OTHER,OTHER_REPT_POSITIONS_LONG_OTHER,OTHER_REPT_POSITIONS_SHORT_OTHER,OTHER_REPT_POSITIONS_SPREAD_OTHER,TOT_REPT_POSITIONS_LONG_OTHER,TOT_REPT_POSITIONS_SHORT_OTHER,NONREPT_POSITIONS_LONG_OTHER,NONREPT_POSITIONS_SHORT_OTHER,CHANGE_IN_OPEN_INTEREST_ALL,CHANGE_IN_PROD_MERC_LONG_ALL,CHANGE_IN_PROD_MERC_SHORT_ALL,CHANGE_IN_SWAP_LONG_ALL,CHANGE_IN_SWAP_SHORT_ALL,CHANGE_IN_SWAP_SPREAD_ALL,CHANGE_IN_M_MONEY_LONG_ALL,CHANGE_IN_M_MONEY_SHORT_ALL,CHANGE_IN_M_MONEY_SPREAD_ALL,CHANGE_IN_OTHER_REPT_LONG_ALL,CHANGE_IN_OTHER_REPT_SHORT_ALL,CHANGE_IN_OTHER_REPT_SPREAD_ALL,CHANGE_IN_TOT_REPT_LONG_ALL,CHANGE_IN_TOT_REPT_SHORT_ALL,CHANGE_IN_NONREPT_LONG_ALL,CHANGE_IN_NONREPT_SHORT_ALL,PCT_OF_OPEN_INTEREST_ALL,PCT_OF_OI_PROD_MERC_LONG_ALL,PCT_OF_OI_PROD_MERC_SHORT_ALL,PCT_OF_OI_SWAP_LONG_ALL,PCT_OF_OI_SWAP_SHORT_ALL,PCT_OF_OI_SWAP_SPREAD_ALL,PCT_OF_OI_M_MONEY_LONG_ALL,PCT_OF_OI_M_MONEY_SHORT_ALL,PCT_OF_OI_M_MONEY_SPREAD_ALL,PCT_OF_OI_OTHER_REPT_LONG_ALL,PCT_OF_OI_OTHER_REPT_SHORT_ALL,PCT_OF_OI_OTHER_REPT_SPREAD_ALL,PCT_OF_OI_TOT_REPT_LONG_ALL,PCT_OF_OI_TOT_REPT_SHORT_ALL,PCT_OF_OI_NONREPT_LONG_ALL,PCT_OF_OI_NONREPT_SHORT_ALL,PCT_OF_OPEN_INTEREST_OLD,PCT_OF_OI_PROD_MERC_LONG_OLD,PCT_OF_OI_PROD_MERC_SHORT_OLD,PCT_OF_OI_SWAP_LONG_OLD,PCT_OF_OI_SWAP_SHORT_OLD,PCT_OF_OI_SWAP_SPREAD_OLD,PCT_OF_OI_M_MONEY_LONG_OLD,PCT_OF_OI_M_MONEY_SHORT_OLD,PCT_OF_OI_M_MONEY_SPREAD_OLD,PCT_OF_OI_OTHER_REPT_LONG_OLD,PCT_OF_OI_OTHER_REPT_SHORT_OLD,PCT_OF_OI_OTHER_REPT_SPREAD_OLD,PCT_OF_OI_TOT_REPT_LONG_OLD,PCT_OF_OI_TOT_REPT_SHORT_OLD,PCT_OF_OI_NONREPT_LONG_OLD,PCT_OF_OI_NONREPT_SHORT_OLD,PCT_OF_OPEN_INTEREST_OTHER,PCT_OF_OI_PROD_MERC_LONG_OTHER,PCT_OF_OI_PROD_MERC_SHORT_OTHER,PCT_OF_OI_SWAP_LONG_OTHER,PCT_OF_OI_SWAP_SHORT_OTHER,PCT_OF_OI_SWAP_SPREAD_OTHER,PCT_OF_OI_M_MONEY_LONG_OTHER,PCT_OF_OI_M_MONEY_SHORT_OTHER,PCT_OF_OI_M_MONEY_SPREAD_OTHER,PCT_OF_OI_OTHER_REPT_LONG_OTHER,PCT_OF_OI_OTHER_REPT_SHORT_OTHER,PCT_OF_OI_OTHER_REPT_SPREAD_OTHER,PCT_OF_OI_TOT_REPT_LONG_OTHER,PCT_OF_OI_TOT_REPT_SHORT_OTHER,PCT_OF_OI_NONREPT_LONG_OTHER,PCT_OF_OI_NONREPT_SHORT_OTHER,TRADERS_PROD_MERC_LONG_ALL,TRADERS_PROD_MERC_SHORT_ALL,TRADERS_SWAP_LONG_ALL,TRADERS_SWAP_SHORT_ALL,TRADERS_SWAP_SPREAD_ALL,TRADERS_M_MONEY_LONG_ALL,TRADERS_M_MONEY_SHORT_ALL,TRADERS_M_MONEY_SPREAD_ALL,TRADERS_OTHER_REPT_LONG_ALL,TRADERS_OTHER_REPT_SHORT_ALL,TRADERS_OTHER_REPT_SPREAD_ALL,TRADERS_TOT_REPT_LONG_ALL,TRADERS_TOT_REPT_SHORT_ALL,TRADERS_PROD_MERC_LONG_OLD,TRADERS_PROD_MERC_SHORT_OLD,TRADERS_SWAP_LONG_OLD,TRADERS_SWAP_SHORT_OLD,TRADERS_SWAP_SPREAD_OLD,TRADERS_M_MONEY_LONG_OLD,TRADERS_M_MONEY_SHORT_OLD,TRADERS_M_MONEY_SPREAD_OLD,TRADERS_OTHER_REPT_LONG_OLD,TRADERS_OTHER_REPT_SHORT_OLD,TRADERS_OTHER_REPT_SPREAD_OLD,TRADERS_TOT_REPT_LONG_OLD,TRADERS_TOT_REPT_SHORT_OLD,TRADERS_PROD_MERC_LONG_OTHER,TRADERS_PROD_MERC_SHORT_OTHER,TRADERS_SWAP_LONG_OTHER,TRADERS_SWAP_SHORT_OTHER,TRADERS_SWAP_SPREAD_OTHER,TRADERS_M_MONEY_LONG_OTHER,TRADERS_M_MONEY_SHORT_OTHER,TRADERS_M_MONEY_SPREAD_OTHER,TRADERS_OTHER_REPT_LONG_OTHER,TRADERS_OTHER_REPT_SHORT_OTHER,TRADERS_OTHER_REPT_SPREAD_OTHER,TRADERS_TOT_REPT_LONG_OTHER,TRADERS_TOT_REPT_SHORT_OTHER,CONC_GROSS_LE_4_TDR_LONG_ALL,CONC_GROSS_LE_4_TDR_SHORT_ALL,CONC_GROSS_LE_8_TDR_LONG_ALL,CONC_GROSS_LE_8_TDR_SHORT_ALL,CONC_NET_LE_4_TDR_LONG_ALL,CONC_NET_LE_4_TDR_SHORT_ALL,CONC_NET_LE_8_TDR_LONG_ALL,CONC_NET_LE_8_TDR_SHORT_ALL,CONC_GROSS_LE_4_TDR_LONG_OLD,CONC_GROSS_LE_4_TDR_SHORT_OLD,CONC_GROSS_LE_8_TDR_LONG_OLD,CONC_GROSS_LE_8_TDR_SHORT_OLD,CONC_NET_LE_4_TDR_LONG_OLD,CONC_NET_LE_4_TDR_SHORT_OLD,CONC_NET_LE_8_TDR_LONG_OLD,CONC_NET_LE_8_TDR_SHORT_OLD,CONC_GROSS_LE_4_TDR_LONG_OTHER,CONC_GROSS_LE_4_TDR_SHORT_OTHER,CONC_GROSS_LE_8_TDR_LONG_OTHER,CONC_GROSS_LE_8_TDR_SHORT_OTHER,CONC_NET_LE_4_TDR_LONG_OTHER,CONC_NET_LE_4_TDR_SHORT_OTHER,CONC_NET_LE_8_TDR_LONG_OTHER,CONC_NET_LE_8_TDR_SHORT_OTHER
2024-01-02,2024-01-05,0,572387,305561,283938,19080,46720,22453,9426,48967,21539,63729,16968,117501,559289,558086,13098,14301,572387,305561,283938,19080,46720,22453,9426,48967,21539,63729,16968,117501,559289,558086,13098,14301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   15188,    8646,    4698,    1050,     648,    2371,    1085,   -1973,       1,   -6714,   -1701,    7902,   14341,   11946,     847,    3242,100.0,53.4,49.6,3.3,8.2,3.9,1.6,8.6,3.8,11.1,3.0,20.5,97.7,97.5,2.3,2.5,100.0,53.4,49.6,3.3,8.2,3.9,1.6,8.6,3.8,11.1,3.0,20.5,97.7,97.5,2.3,2.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     41,     37,      6,      9,     13,      5,      8,     13,     18,     18,     34,110,     98,     41,     37,      6,      9,     13,      5,      8,     13,     18,     18,     34,    110,     98,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,34.2,34.7,47.0,48.8,25.1,26.3,35.0,33.8,34.2,34.7,47.0,48.8,25.1,26.3,35.0,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,2024-01-05,0,126163,22977,38809,22823,27347,2021,0,0,0,51094,14604,6006,104921,88787,21242,37376,126163,22977,38809,22823,27347,2021,0,0,0,51094,14604,6006,104921,88787,21242,37376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -21893,  -14675,   -7178,   -4683,   -7748,    -802,       0,       0,       0,    2676,   -5116,   -5654,  -23138,  -26498,    1245,    4605,100.0,18.2,30.8,18.1,21.7,1.6,0.0,0.0,0.0,40.5,11.6,4.8,83.2,70.4,16.8,29.6,100.0,18.2,30.8,18.1,21.7,1.6,0.0,0.0,0.0,40.5,11.6,4.8,83.2,70.4,16.8,29.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     10,     16,      5,      5,      4,      0,      0,      0,      6,.,      5,24,     30,     10,     16,      5,      5,      4,      0,      0,      0,      6,.,      5,     24,     30,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,50.6,30.1,67.1,44.3,48.8,30.1,62.0,42.6,50.6,30.1,67.1,44.3,48.8,30.1,62.0,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-09,2024-01-12,0,127095,24454,37833,22823,28379,4060,0,0,0,49143,14604,6810,107290,91686,19805,35409,127095,24454,37833,22823,28379,4060,0,0,0,49143,14604,6810,107290,91686,19805,35409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     932,    1477,    -976,       0,    1032,    2039,       0,       0,       0,   -1951,       0,     804,    2369,    2899,   -1437,   -1967,100.0,19.2,29.8,18.0,22.3,3.2,0.0,0.0,0.0,38.7,11.5,5.4,84.4,72.1,15.6,27.9,100.0,19.2,29.8,18.0,22.3,3.2,0.0,0.0,0.0,38.7,11.5,5.4,84.4,72.1,15.6,27.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     12,     15,      5,      6,      5,      0,      0,      0,      6,.,      5,27,     30,     12,     15,      5,      6,      5,      0,      0,      0,      6,.,      5,     27,     30,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,50.1,29.7,67.3,43.5,48.3,29.7,62.7,42.4,50.1,29.7,67.3,43.5,48.3,29.7,62.7,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-09,2024-01-12,0,584069,303816,284640,19766,49066,23095,5206,50335,28522,74400,16242,114636,569441,566536,14628,17533,584069,303816,284640,19766,49066,23095,5206,50335,28522,74400,16242,114636,569441,566536,14628,17533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   11682,   -1745,     702,     686,    2346,     642,   -4220,    1368,    6983,   10671,    -726,   -2865,   10152,    8450,    1530,    3232,100.0,52.0,48.7,3.4,8.4,4.0,0.9,8.6,4.9,12.7,2.8,19.6,97.5,97.0,2.5,3.0,100.0,52.0,48.7,3.4,8.4,4.0,0.9,8.6,4.9,12.7,2.8,19.6,97.5,97.0,2.5,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     40,     36,      5,     10,     13,      4,      8,     12,     17,     17,     32,105,     94,     40,     36,      5,     10,     13,      4,      8,     12,     17,     17,     32,    105,     94,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,34.7,33.7,48.3,48.4,26.3,25.7,36.1,33.4,34.7,33.7,48.3,48.4,26.3,25.7,36.1,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-16,2024-01-19,0,623387,324876,303389,21696,50291,23515,3010,51760,34694,75905,17112,125699,609395,606460,13992,16927,623387,324876,303389,21696,50291,23515,3010,51760,34694,75905,17112,125699,609395,606460,13992,16927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   39318,   21060,   18749,    1930,    1225,     420,   -2196,    1425,    6172,    1505,     870,   11063,   39954,   39924,    -636,    -606,100.0,52.1,48.7,3.5,8.1,3.8,0.5,8.3,5.6,12.2,2.7,20.2,97.8,97.3,2.2,2.7,100.0,52.1,48.7,3.5,8.1,3.8,0.5,8.3,5.6,12.2,2.7,20.2,97.8,97.3,2.2,2.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     43,     40,      5,     10,     15,.,     10,     13,     16,     20,     33,111,    101,     43,     40,      5,     10,     15,.,     10,     13,     16,     20,     33,    111,    101,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,34.1,32.4,48.8,47.3,26.3,23.8,35.8,30.9,34.1,32.4,48.8,47.3,26.3,23.8,35.8,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-16,2024-01-19,0,130893,28297,39005,22769,29976,4050,0,0,0,48038,14832,7562,110716,95425,20177,35468,130893,28297,39005,22769,29976,4050,0,0,0,48038,14832,7562,110716,95425,20177,35468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    3798,    3843,    1172,     -54,    1597,     -10,       0,       0,       0,   -1105,     228,     752,    3426,    3739,     372,      59,100.0,21.6,29.8,17.4,22.9,3.1,0.0,0.0,0.0,36.7,11.3,5.8,84.6,72.9,15.4,27.1,100.0,21.6,29.8,17.4,22.9,3.1,0.0,0.0,0.0,36.7,11.3,5.8,84.6,72.9,15.4,27.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     15,     17,      5,      6,      5,      0,      0,      0,      6,.,      5,30,     32,     15,     17,      5,      6,      5,      0,      0,      0,      6,.,      5,     30,     32,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,48.3,30.3,65.9,43.6,46.6,30.2,61.6,42.5,48.3,30.3,65.9,43.6,46.6,30.2,61.6,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-23,2024-01-26,0,133918,29603,39134,22769,31007,4059,0,0,0,48232,15198,8150,112813,97548,21105,36370,133918,29603,39134,22769,31007,4059,0,0,0,48232,15198,8150,112813,97548,21105,36370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    3025,    1306,     129,       0,    1031,       9,       0,       0,       0,     194,     366,     588,    2097,    2123,     928,     902,100.0,22.1,29.2,17.0,23.2,3.0,0.0,0.0,0.0,36.0,11.3,6.1,84.2,72.8,15.8,27.2,100.0,22.1,29.2,17.0,23.2,3.0,0.0,0.0,0.0,36.0,11.3,6.1,84.2,72.8,15.8,27.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     15,     17,      5,      6,      5,      0,      0,      0,      6,.,      6,30,     33,     15,     17,      5,      6,      5,      0,      0,      0,      6,.,      6,     30,     33,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,47.6,30.2,65.0,43.5,46.7,30.1,61.5,42.2,47.6,30.2,65.0,43.5,46.7,30.1,61.5,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-23,2024-01-26,0,597807,292847,309146,21524,41853,26895,10907,47489,24571,85890,12042,121577,584211,583573,13596,14234,597807,292847,309146,21524,41853,26895,10907,47489,24571,85890,12042,121577,584211,583573,13596,14234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -25580,  -32029,    5757,    -172,   -8438,    3380,    7897,   -4271,  -10123,    9985,   -5070,   -4122,  -25184,  -22887,    -396,   -2693,100.0,49.0,51.7,3.6,7.0,4.5,1.8,7.9,4.1,14.4,2.0,20.3,97.7,97.6,2.3,2.4,100.0,49.0,51.7,3.6,7.0,4.5,1.8,7.9,4.1,14.4,2.0,20.3,97.7,97.6,2.3,2.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     43,     44,      5,     10,     13,      6,     12,     11,     18,     20,     32,110,    107,     43,     44,      5,     10,     13,      6,     12,     11,     18,     20,     32,    110,    107,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,35.9,31.1,48.2,46.2,25.8,23.0,35.8,31.6,35.9,31.1,48.2,46.2,25.8,23.0,35.8,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-30,2024-02-02,0,140646,30529,42159,25184,31386,4189,0,0,0,50363,16544,8611,118876,102889,21770,37757,140646,30529,42159,25184,31386,4189,0,0,0,50363,16544,8611,118876,102889,21770,37757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    6728,     926,    3025,    2415,     379,     130,       0,       0,       0,    2131,    1346,     461,    6063,    5341,     665,    1387,100.0,21.7,30.0,17.9,22.3,3.0,0.0,0.0,0.0,35.8,11.8,6.1,84.5,73.2,15.5,26.8,100.0,21.7,30.0,17.9,22.3,3.0,0.0,0.0,0.0,35.8,11.8,6.1,84.5,73.2,15.5,26.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     16,     19,      5,      6,      5,      0,      0,      0,      6,.,      6,31,     35,     16,     19,      5,      6,      5,      0,      0,      0,      6,.,      6,     31,     35,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,47.1,30.2,64.8,43.1,46.1,30.2,61.7,41.8,47.1,30.2,64.8,43.1,46.1,30.2,61.7,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-30,2024-02-02,0,603073,293103,319206,20185,40442,28123,8893,43416,26723,86291,8353,125934,589252,592197,13821,10876,603073,293103,319206,20185,40442,28123,8893,43416,26723,86291,8353,125934,589252,592197,13821,10876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    5266,     256,   10060,   -1339,   -1411,    1228,   -2014,   -4073,    2152,     401,   -3689,    4357,    5041,    8624,     225,   -3358,100.0,48.6,52.9,3.3,6.7,4.7,1.5,7.2,4.4,14.3,1.4,20.9,97.7,98.2,2.3,1.8,100.0,48.6,52.9,3.3,6.7,4.7,1.5,7.2,4.4,14.3,1.4,20.9,97.7,98.2,2.3,1.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,     43,     45,      6,     10,     13,      6,     12,     11,     19,     18,     33,110,    109,     43,     45,      6,     10,     13,      6,     12,     11,     19,     18,     33,    110,    109,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,35.9,30.6,47.2,46.4,25.4,22.0,34.1,31.3,35.9,30.6,47.2,46.4,25.4,22.0,34.1,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
