date,cash,positions_value,total_value,net_value,return,600036return,600036dividend,000333return,000333dividend,601919return,601919dividend,000858return,000858dividend,002602return,002602dividend,002555return,002555dividend,002466return,002466dividend,002460return,002460dividend,002738return,002738dividend
20230103,1000000.0,0.0,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230104,1000000.0,0.0,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230105,760008.7072000001,239584.0,999592.7072000001,0.9995927072,-407.2927999999374,-183.25999999999476,0.0,-224.0327999999863,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230106,760008.7072000001,237088.0,997096.7072000001,0.9970967072000001,-2903.2927999999374,-519.2599999999948,0.0,-2384.0327999999863,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230109,760008.7072000001,238504.0,998512.7072000001,0.9985127072000001,-1487.2927999999374,656.7399999999907,0.0,-2144.0327999999863,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230110,760008.7072000001,235500.0,995508.7072000001,0.9955087072000001,-4491.292799999937,-883.2599999999948,0.0,-3608.0327999999863,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230111,760008.7072000001,239776.0,999784.7072000001,0.9997847072,-215.29279999993742,992.7400000000052,0.0,-1208.0327999999863,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230112,760008.7072000001,240788.0,1000796.7072000001,1.0007967072000001,796.7072000000626,1356.7399999999907,0.0,-560.0327999999863,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230113,760008.7072000001,245328.0,1005336.7072000001,1.0053367072000001,5336.707200000063,3064.7399999999907,0.0,2271.9672000000137,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230116,760008.7072000001,251796.0,1011804.7072000001,1.0118047072,11804.707200000063,5332.740000000005,0.0,6471.967200000014,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230117,760008.7072000001,253104.0,1013112.7072000001,1.0131127072000001,13112.707200000063,5920.740000000005,0.0,7191.967200000014,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230118,760008.7072000001,251304.0,1011312.7072000001,1.0113127072,11312.707200000063,5080.740000000005,0.0,6231.967200000014,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230119,760008.7072000001,251532.0,1011540.7072000001,1.0115407072,11540.707200000063,5836.740000000005,0.0,5703.967200000014,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230120,760008.7072000001,251932.0,1011940.7072000001,1.0119407072,11940.707200000063,6956.739999999991,0.0,4983.967200000014,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230130,760008.7072000001,251244.0,1011252.7072000001,1.0112527072000002,11252.707200000063,9700.740000000005,0.0,1551.9672000000137,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230131,760008.7072000001,247868.0,1007876.7072000001,1.0078767072,7876.707200000063,7404.740000000005,0.0,471.9672000000137,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230201,760008.7072000001,246712.0,1006720.7072000001,1.0067207072,6720.707200000063,5528.740000000005,0.0,1191.9672000000137,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230202,760008.7072000001,241588.0,1001596.7072000001,1.0015967072,1596.7072000000626,4100.740000000005,0.0,-2504.0327999999863,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230203,760008.7072000001,237984.0,997992.7072000001,0.9979927072000001,-2007.2927999999374,2056.7399999999907,0.0,-4064.0327999999863,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230206,760008.7072000001,230380.0,990388.7072000001,0.9903887072,-9611.292799999937,-603.2599999999948,0.0,-9008.032799999986,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230207,760008.7072000001,231148.0,991156.7072000001,0.9911567072,-8843.292799999937,-435.2600000000093,0.0,-8408.032799999986,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230208,760008.7072000001,230196.0,990204.7072000001,0.9902047072000001,-9795.292799999937,-211.25999999999476,0.0,-9584.032799999986,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230209,760008.7072000001,231444.0,991452.7072000001,0.9914527072000001,-8547.292799999937,-211.25999999999476,0.0,-8336.032799999986,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230210,760008.7072000001,230736.0,990744.7072000001,0.9907447072000001,-9255.292799999937,-1135.2600000000093,0.0,-8120.032799999986,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230213,760008.7072000001,231472.0,991480.7072000001,0.9914807072,-8519.292799999937,-2367.2599999999948,0.0,-6152.032799999986,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230214,760008.7072000001,231704.0,991712.7072000001,0.9917127072,-8287.292799999937,-1583.2599999999948,0.0,-6704.032799999986,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230215,760008.7072000001,227316.0,987324.7072000001,0.9873247072000001,-12675.292799999937,-3907.2599999999948,0.0,-8768.032799999986,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230216,760008.7072000001,227428.0,987436.7072000001,0.9874367072000001,-12563.292799999937,-3627.25999999998,0.0,-8936.032799999986,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230217,760008.7072000001,226100.0,986108.7072000001,0.9861087072000001,-13891.292799999937,-5195.259999999995,0.0,-8696.032799999986,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230220,760008.7072000001,235692.0,995700.7072000001,0.9957007072,-4299.292799999937,-211.25999999999476,0.0,-4088.0327999999863,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230221,760008.7072000001,236828.0,996836.7072000001,0.9968367072000001,-3163.2927999999374,348.74000000000524,0.0,-3512.0327999999863,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230222,760008.7072000001,233520.0,993528.7072000001,0.9935287072000001,-6471.292799999937,-1135.2600000000093,0.0,-5336.032799999986,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230223,760008.7072000001,235244.0,995252.7072000001,0.9952527072,-4747.292799999937,-827.2599999999802,0.0,-3920.0327999999863,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
